,futures_contract,option_contract_expiration
0,SIK23,2023-03-28
60,HGK23,2023-03-28
30,GCJ23,2023-03-28
99,NGJ23,2023-03-28
96,NGJ23,2023-03-28
33,GCJ23,2023-03-28
93,NGJ23,2023-03-28
36,GCJ23,2023-03-28
90,NGJ23,2023-03-28
39,GCJ23,2023-03-28
87,NGJ23,2023-03-28
84,NGJ23,2023-03-28
42,GCJ23,2023-03-28
81,NGJ23,2023-03-28
45,GCJ23,2023-03-28
78,HGK23,2023-03-28
75,HGK23,2023-03-28
48,GCJ23,2023-03-28
72,HGK23,2023-03-28
69,HGK23,2023-03-28
51,GCJ23,2023-03-28
66,HGK23,2023-03-28
54,HGK23,2023-03-28
63,HGK23,2023-03-28
27,GCJ23,2023-03-28
105,NGJ23,2023-03-28
102,NGJ23,2023-03-28
24,GCJ23,2023-03-28
3,SIK23,2023-03-28
6,SIK23,2023-03-28
9,SIK23,2023-03-28
15,SIK23,2023-03-28
18,SIK23,2023-03-28
12,SIK23,2023-03-28
57,HGK23,2023-03-28
108,NGJ23,2023-03-28
21,GCJ23,2023-03-28
114,NGJ23,2023-03-28
111,NGJ23,2023-03-28
141,CLK23,2023-04-17
132,CLK23,2023-04-17
135,CLK23,2023-04-17
144,CLK23,2023-04-17
129,CLK23,2023-04-17
165,CLK23,2023-04-17
147,CLK23,2023-04-17
126,CLK23,2023-04-17
168,CLK23,2023-04-17
174,CLK23,2023-04-17
162,CLK23,2023-04-17
153,CLK23,2023-04-17
120,CLK23,2023-04-17
171,CLK23,2023-04-17
156,CLK23,2023-04-17
117,CLK23,2023-04-17
159,CLK23,2023-04-17
123,CLK23,2023-04-17
150,CLK23,2023-04-17
138,CLK23,2023-04-17
195,ZCK23,2023-04-21
213,ZSK23,2023-04-21
216,ZSK23,2023-04-21
219,ZSK23,2023-04-21
222,ZSK23,2023-04-21
225,ZSK23,2023-04-21
228,ZWK23,2023-04-21
210,ZSK23,2023-04-21
231,ZWK23,2023-04-21
237,ZWK23,2023-04-21
240,ZWK23,2023-04-21
243,ZWK23,2023-04-21
246,ZNM23,2023-04-21
249,ZNM23,2023-04-21
252,ZNM23,2023-04-21
234,ZWK23,2023-04-21
177,ZCK23,2023-04-21
186,ZCK23,2023-04-21
207,ZSK23,2023-04-21
198,ZCK23,2023-04-21
180,ZCK23,2023-04-21
192,ZCK23,2023-04-21
201,ZSK23,2023-04-21
183,ZCK23,2023-04-21
204,ZSK23,2023-04-21
189,ZCK23,2023-04-21
76,HGK23,2023-04-25
25,GCM23,2023-04-25
67,HGK23,2023-04-25
109,NGK23,2023-04-25
22,GCM23,2023-04-25
112,NGK23,2023-04-25
19,SIK23,2023-04-25
16,SIK23,2023-04-25
64,HGK23,2023-04-25
13,SIK23,2023-04-25
55,HGK23,2023-04-25
10,SIK23,2023-04-25
7,SIK23,2023-04-25
61,HGK23,2023-04-25
4,SIK23,2023-04-25
1,SIK23,2023-04-25
115,NGK23,2023-04-25
52,GCM23,2023-04-25
106,NGK23,2023-04-25
88,NGK23,2023-04-25
46,GCM23,2023-04-25
79,HGK23,2023-04-25
82,NGK23,2023-04-25
43,GCM23,2023-04-25
73,HGK23,2023-04-25
85,NGK23,2023-04-25
40,GCM23,2023-04-25
103,NGK23,2023-04-25
49,GCM23,2023-04-25
37,GCM23,2023-04-25
97,NGK23,2023-04-25
58,HGK23,2023-04-25
94,NGK23,2023-04-25
28,GCM23,2023-04-25
34,GCM23,2023-04-25
70,HGK23,2023-04-25
100,NGK23,2023-04-25
31,GCM23,2023-04-25
91,NGK23,2023-04-25
139,CLM23,2023-05-17
142,CLM23,2023-05-17
175,CLM23,2023-05-17
145,CLM23,2023-05-17
157,CLM23,2023-05-17
148,CLM23,2023-05-17
160,CLM23,2023-05-17
172,CLM23,2023-05-17
151,CLM23,2023-05-17
154,CLM23,2023-05-17
169,CLM23,2023-05-17
166,CLM23,2023-05-17
163,CLM23,2023-05-17
127,CLM23,2023-05-17
136,CLM23,2023-05-17
133,CLM23,2023-05-17
130,CLM23,2023-05-17
118,CLM23,2023-05-17
124,CLM23,2023-05-17
121,CLM23,2023-05-17
92,NGM23,2023-05-25
89,NGM23,2023-05-25
86,NGM23,2023-05-25
29,GCM23,2023-05-25
83,NGM23,2023-05-25
80,HGN23,2023-05-25
77,HGN23,2023-05-25
32,GCM23,2023-05-25
74,HGN23,2023-05-25
71,HGN23,2023-05-25
56,HGN23,2023-05-25
38,GCM23,2023-05-25
68,HGN23,2023-05-25
41,GCM23,2023-05-25
65,HGN23,2023-05-25
44,GCM23,2023-05-25
62,HGN23,2023-05-25
47,GCM23,2023-05-25
59,HGN23,2023-05-25
50,GCM23,2023-05-25
35,GCM23,2023-05-25
26,GCM23,2023-05-25
95,NGM23,2023-05-25
101,NGM23,2023-05-25
2,SIN23,2023-05-25
5,SIN23,2023-05-25
8,SIN23,2023-05-25
11,SIN23,2023-05-25
14,SIN23,2023-05-25
98,NGM23,2023-05-25
17,SIN23,2023-05-25
20,SIN23,2023-05-25
116,NGM23,2023-05-25
53,GCM23,2023-05-25
113,NGM23,2023-05-25
110,NGM23,2023-05-25
23,GCM23,2023-05-25
104,NGM23,2023-05-25
107,NGM23,2023-05-25
232,ZWN23,2023-05-26
202,ZSN23,2023-05-26
229,ZWN23,2023-05-26
250,ZNM23,2023-05-26
205,ZSN23,2023-05-26
247,ZNM23,2023-05-26
208,ZSN23,2023-05-26
211,ZSN23,2023-05-26
244,ZWN23,2023-05-26
223,ZSN23,2023-05-26
241,ZWN23,2023-05-26
214,ZSN23,2023-05-26
217,ZSN23,2023-05-26
235,ZWN23,2023-05-26
220,ZSN23,2023-05-26
226,ZSN23,2023-05-26
238,ZWN23,2023-05-26
196,ZCN23,2023-05-26
199,ZCN23,2023-05-26
184,ZCN23,2023-05-26
253,ZNM23,2023-05-26
178,ZCN23,2023-05-26
187,ZCN23,2023-05-26
190,ZCN23,2023-05-26
181,ZCN23,2023-05-26
193,ZCN23,2023-05-26
170,CLN23,2023-06-15
149,CLN23,2023-06-15
152,CLN23,2023-06-15
122,CLN23,2023-06-15
176,CLN23,2023-06-15
167,CLN23,2023-06-15
164,CLN23,2023-06-15
161,CLN23,2023-06-15
158,CLN23,2023-06-15
173,CLN23,2023-06-15
155,CLN23,2023-06-15
119,CLN23,2023-06-15
146,CLN23,2023-06-15
128,CLN23,2023-06-15
143,CLN23,2023-06-15
131,CLN23,2023-06-15
140,CLN23,2023-06-15
137,CLN23,2023-06-15
134,CLN23,2023-06-15
125,CLN23,2023-06-15
239,ZWN23,2023-06-23
245,ZWN23,2023-06-23
248,ZNU23,2023-06-23
236,ZWN23,2023-06-23
251,ZNU23,2023-06-23
242,ZWN23,2023-06-23
227,ZSN23,2023-06-23
230,ZWN23,2023-06-23
197,ZCN23,2023-06-23
203,ZSN23,2023-06-23
194,ZCN23,2023-06-23
206,ZSN23,2023-06-23
191,ZCN23,2023-06-23
209,ZSN23,2023-06-23
188,ZCN23,2023-06-23
233,ZWN23,2023-06-23
212,ZSN23,2023-06-23
215,ZSN23,2023-06-23
182,ZCN23,2023-06-23
218,ZSN23,2023-06-23
179,ZCN23,2023-06-23
221,ZSN23,2023-06-23
224,ZSN23,2023-06-23
200,ZCN23,2023-06-23
185,ZCN23,2023-06-23
254,ZNU23,2023-06-23
21,SQJ23,2023-04-14
18,SQJ23,2023-04-14
27,SQJ23,2023-04-14
15,SQJ23,2023-04-14
12,SQJ23,2023-04-14
24,SQJ23,2023-04-14
9,ZTM23,2023-04-21
0,ZFM23,2023-04-21
6,ZTM23,2023-04-21
3,ZFM23,2023-04-21
25,SQK23,2023-05-12
22,SQK23,2023-05-12
13,SQK23,2023-05-12
28,SQK23,2023-05-12
16,SQK23,2023-05-12
19,SQK23,2023-05-12
4,ZFM23,2023-05-26
1,ZFM23,2023-05-26
7,ZTM23,2023-05-26
10,ZTM23,2023-05-26
26,SQM23,2023-06-16
23,SQM23,2023-06-16
14,SQM23,2023-06-16
17,SQM23,2023-06-16
20,SQM23,2023-06-16
29,SQM23,2023-06-16
11,ZTU23,2023-06-23
8,ZTU23,2023-06-23
5,ZFU23,2023-06-23
2,ZFU23,2023-06-23
